ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
000009.SZ,20250821,9.5,1.1544,0.92,141.9406,90.6057,2.4247,2450253.2668,2447219.4418
000009.SZ,20250820,9.51,1.2689,1.08,142.0901,90.7011,2.4273,2452832.4807,2449795.4622
000009.SZ,20250819,9.31,1.0365,0.92,139.1018,88.7936,2.3762,2401248.2014,2398275.0529
000009.SZ,20250818,9.36,1.7333,1.85,139.8489,89.2705,2.389,2414144.2712,2411155.1552
000009.SZ,20250815,9.17,1.1786,1.45,137.0101,87.4584,2.3405,2365139.2059,2362210.7664
000009.SZ,20250814,8.94,1.0625,1.49,133.5736,85.2648,2.2818,2305817.2847,2302962.2957
000009.SZ,20250813,9.12,0.8801,1.34,136.263,86.9815,2.3277,2352243.1361,2349330.6641
000009.SZ,20250812,9.2,0.7841,1.2,137.4583,87.7445,2.3481,2372876.8478,2369938.8278
000009.SZ,20250811,9.18,0.772,1.1,137.1595,87.5537,2.343,2367718.4199,2364786.7869
000009.SZ,20250808,9.07,0.5622,0.73,135.516,86.5046,2.315,2339347.0663,2336450.5618
000009.SZ,20250807,9.09,0.5649,0.65,135.8148,86.6954,2.3201,2344505.4942,2341602.6027
000009.SZ,20250806,9.1,0.6101,0.64,135.9642,86.7907,2.3226,2347084.7082,2344178.6232
000009.SZ,20250805,9.14,0.7511,0.71,136.5618,87.1722,2.3328,2357401.564,2354482.705
000009.SZ,20250804,9.26,1.0051,0.77,138.3548,88.3167,2.3635,2388352.1316,2385394.9506
000009.SZ,20250801,9.13,0.9433,0.7,136.4124,87.0769,2.3303,2354822.35,2351906.6845
000009.SZ,20250731,9.1,1.0444,0.77,135.9642,86.7907,2.3226,2347084.7082,2344178.6232
000009.SZ,20250730,9.15,1.0305,0.76,136.7112,87.2676,2.3354,2359980.778,2357058.7255
000009.SZ,20250729,9.21,1.2323,0.87,137.6077,87.8399,2.3507,2375456.0618,2372514.8483
000009.SZ,20250728,9.33,2.2537,1.99,139.4006,88.9844,2.3813,2406406.6293,2403427.0938
000009.SZ,20250725,9.06,1.2033,1.2,135.3665,86.4092,2.3124,2336767.8523,2333874.5413
000009.SZ,20250724,9.03,1.0852,1.23,134.9183,86.1231,2.3048,2329030.2104,2326146.4799
000009.SZ,20250723,8.91,1.0307,1.31,133.1254,84.9786,2.2741,2298079.6428,2295234.2343
000009.SZ,20250722,8.97,1.5121,2.5,134.0218,85.5509,2.2894,2313554.9266,2310690.3571
000009.SZ,20250721,8.79,0.843,1.49,131.3324,83.8341,2.2435,2267129.0752,2264321.9887
000009.SZ,20250718,8.8,0.5543,0.77,131.4819,83.9295,2.246,2269708.2892,2266898.0092
000009.SZ,20250717,8.79,0.4838,0.65,131.3324,83.8341,2.2435,2267129.0752,2264321.9887
000009.SZ,20250716,8.71,0.531,0.66,130.1372,83.0711,2.2231,2246495.3635,2243713.825
