ts_code,name,industry,list_date,market
000933.SZ,神火股份,铝,19990831,主板
000935.SZ,四川双马,水泥,19990824,主板
000936.SZ,华西股份,化纤,19990810,主板
000937.SZ,冀中能源,煤炭开采,19990909,主板
000938.SZ,紫光股份,IT设备,19991104,主板
000948.SZ,南天信息,软件服务,19991014,主板
000949.SZ,新乡化纤,化纤,19991021,主板
000950.SZ,重药控股,医药商业,19990916,主板
000951.SZ,中国重汽,汽车整车,19991125,主板
000952.SZ,广济药业,化学制药,19991112,主板
000953.SZ,河化股份,化学制药,19991202,主板
000955.SZ,欣龙控股,纺织,19991209,主板
000957.SZ,中通客车,汽车整车,20000113,主板
000958.SZ,电投产融,新型电力,19991223,主板
000959.SZ,首钢股份,普钢,19991216,主板
000960.SZ,锡业股份,小金属,20000221,主板
000962.SZ,东方钽业,小金属,20000120,主板
000963.SZ,华东医药,化学制药,20000127,主板
000965.SZ,天保基建,区域地产,20000406,主板
000966.SZ,长源电力,火力发电,20000316,主板
000967.SZ,盈峰环境,环境保护,20000330,主板
000968.SZ,蓝焰控股,石油开采,20000622,主板
000969.SZ,安泰科技,小金属,20000529,主板
000970.SZ,中科三环,矿物制品,20000420,主板
000973.SZ,佛塑科技,塑料,20000525,主板
000975.SZ,山金国际,黄金,20000608,主板
000977.SZ,浪潮信息,IT设备,20000608,主板
000978.SZ,桂林旅游,旅游景点,20000518,主板
000980.SZ,众泰汽车,汽车配件,20000616,主板
000981.SZ,山子高科,汽车配件,20000622,主板
000983.SZ,山西焦煤,煤炭开采,20000726,主板
000985.SZ,大庆华科,化工原料,20000726,主板
000987.SZ,越秀资本,多元金融,20000718,主板
000988.SZ,华工科技,专用机械,20000608,主板
000989.SZ,九芝堂,中成药,20000628,主板
000990.SZ,诚志股份,化工原料,20000706,主板
000993.SZ,闽东电力,水力发电,20000731,主板
000995.SZ,皇台酒业,白酒,20000807,主板
000997.SZ,新大陆,IT设备,20000807,主板
000998.SZ,隆平高科,种植业,20001211,主板
000999.SZ,华润三九,中成药,20000309,主板
002001.SZ,新和成,化学制药,20040625,主板
002181.SZ,粤传媒,出版业,20071116,主板
600000.SH,浦发银行,银行,19991110,主板
600004.SH,白云机场,机场,20030428,主板
600006.SH,东风股份,汽车整车,19990727,主板
600007.SH,中国国贸,园区开发,19990312,主板
600008.SH,首创环保,水务,20000427,主板
600009.SH,上海机场,机场,19980218,主板
600010.SH,包钢股份,普钢,20010309,主板
600011.SH,华能国际,火力发电,20011206,主板
600012.SH,皖通高速,路桥,20030107,主板
600015.SH,华夏银行,银行,20030912,主板
600016.SH,民生银行,银行,20001219,主板
600019.SH,宝钢股份,普钢,20001212,主板
600020.SH,中原高速,路桥,20030808,主板
600021.SH,上海电力,火力发电,20031029,主板
600026.SH,中远海能,水运,20020523,主板
600028.SH,中国石化,石油加工,20010808,主板
600029.SH,南方航空,空运,20030725,主板
600030.SH,中信证券,证券,20030106,主板
600031.SH,三一重工,工程机械,20030703,主板
600033.SH,福建高速,路桥,20010209,主板
600035.SH,楚天高速,路桥,20040310,主板
600036.SH,招商银行,银行,20020409,主板
600037.SH,歌华有线,影视音像,20010208,主板
600038.SH,中直股份,航空,20001218,主板
600039.SH,四川路桥,建筑工程,20030325,主板
600050.SH,中国联通,电信运营,20021009,主板
600051.SH,宁波联合,综合类,19970410,主板
600052.SH,东望时代,供气供热,19970415,主板
600054.SH,黄山旅游,旅游景点,19970506,主板
600055.SH,万东医疗,医疗保健,19970519,主板
600056.SH,中国医药,医药商业,19970515,主板
600057.SH,厦门象屿,仓储物流,19970604,主板
600058.SH,五矿发展,商贸代理,19970528,主板
600059.SH,古越龙山,红黄酒,19970516,主板
600060.SH,海信视像,家用电器,19970422,主板
600061.SH,国投资本,证券,19970519,主板
600062.SH,华润双鹤,化学制药,19970522,主板
600063.SH,皖维高新,化纤,19970528,主板
600064.SH,南京高科,园区开发,19970506,主板
600066.SH,XD宇通客,汽车整车,19970508,主板
600067.SH,冠城新材,电气设备,19970508,主板
600071.SH,凤凰光学,元器件,19970528,主板
600072.SH,中船科技,电气设备,19970603,主板
600073.SH,光明肉业,食品,19970704,主板
600075.SH,新疆天业,化工原料,19970617,主板
600076.SH,康欣新材,广告包装,19970526,主板
600078.SH,澄星股份,化工原料,19970627,主板
600081.SH,东风科技,汽车配件,19970703,主板
600085.SH,同仁堂,中成药,19970625,主板
600088.SH,中视传媒,影视音像,19970616,主板
600089.SH,特变电工,电气设备,19970618,主板
600094.SH,大名城,区域地产,19970703,主板
600095.SH,湘财股份,证券,19970708,主板
600096.SH,云天化,农药化肥,19970709,主板
600097.SH,开创国际,渔业,19970619,主板
600098.SH,广州发展,火力发电,19970718,主板
600099.SH,林海股份,汽车整车,19970704,主板
600100.SH,同方股份,IT设备,19970627,主板
600101.SH,明星电力,水力发电,19970627,主板
600103.SH,青山纸业,造纸,19970703,主板
600104.SH,上汽集团,汽车整车,19971125,主板
600105.SH,永鼎股份,通信设备,19970929,主板
600106.SH,重庆路桥,路桥,19970618,主板
600108.SH,亚盛集团,种植业,19970818,主板
600109.SH,国金证券,证券,19970807,主板
600110.SH,诺德股份,电气设备,19971007,主板
600111.SH,北方稀土,小金属,19970924,主板
600113.SH,浙江东日,区域地产,19971021,主板
600114.SH,东睦股份,机械基件,20040511,主板
600115.SH,中国东航,空运,19971105,主板
600116.SH,三峡水利,水力发电,19970804,主板
600117.SH,西宁特钢,特种钢,19971015,主板
600118.SH,中国卫星,航空,19970908,主板
600120.SH,浙江东方,多元金融,19971201,主板
600121.SH,郑州煤电,煤炭开采,19980107,主板
600123.SH,兰花科创,煤炭开采,19981217,主板
